Title,Link,Year,Rating_Classification,Total_Ratings,Critic_Score,Audience_Score,Genre,Director,Runtime
A Beautiful Day in the Neighborhood,https://www.rottentomatoes.com/m/a_beautiful_day_in_the_neighborhood,2019,PG,10000,95,92,Biography,Marielle Heller,107
The LEGO Movie,https://www.rottentomatoes.com/m/the_lego_movie,2014,PG,100000,96,87,Kids & Family,Phil Lord,95
Before Sunset,https://www.rottentomatoes.com/m/before_sunset,2004,R,50000,94,91,Romance,Richard Linklater,80
Soul,https://www.rottentomatoes.com/m/soul,2024,PG,5000,95,88,Kids & Family,Pete Docter,100
Creed,https://www.rottentomatoes.com/m/creed_2015,2015,PG-13,50000,95,89,Drama,Ryan Coogler,133
John Wick: Chapter 4,https://www.rottentomatoes.com/m/john_wick_chapter_4,2023,R,5000,94,93,Action,Chad Stahelski,169
The Princess Bride,https://www.rottentomatoes.com/m/princess_bride,1987,PG,250000,96,94,Kids & Family,Rob Reiner,98
Sunrise,https://www.rottentomatoes.com/m/sunrise,1927,Not Rated,5000,98,92,Drama,F.W. Murnau,110
Before Midnight,https://www.rottentomatoes.com/m/before_midnight_2013,2013,R,25000,98,82,Romance,Richard Linklater,109
Lawrence of Arabia,https://www.rottentomatoes.com/m/lawrence_of_arabia,1962,PG,50000,93,93,Biography,David Lean,222
Strangers on a Train,https://www.rottentomatoes.com/m/strangers_on_a_train,1951,PG,25000,98,92,Mystery & Thriller,Alfred Hitchcock,101
Sling Blade,https://www.rottentomatoes.com/m/sling_blade,1996,R,50000,97,92,Drama,Billy Bob Thornton,136
Kubo and the Two Strings,https://www.rottentomatoes.com/m/kubo_and_the_two_strings_2016,2016,PG,25000,97,86,Kids & Family,Travis Knight,102
Sweet Smell of Success,https://www.rottentomatoes.com/m/sweet_smell_of_success,1957,Not Rated,5000,98,91,Drama,Alexander Mackendrick,96
The Thin Man,https://www.rottentomatoes.com/m/thin_man,1934,Not Rated,10000,98,93,Comedy,W. S. Van Dyke II,93
Once Upon a Time in the West,https://www.rottentomatoes.com/m/once_upon_a_time_in_the_west,1969,PG-13,50000,96,94,Western,Sergio Leone,165
Eternal Sunshine of the Spotless Mind,https://www.rottentomatoes.com/m/eternal_sunshine_of_the_spotless_mind,2004,R,250000,92,94,Romance,Michel Gondry,108
Sense and Sensibility,https://www.rottentomatoes.com/m/1068832-sense_and_sensibility,1995,PG,100000,97,90,Comedy,Ang Lee,135
BlacKkKlansman,https://www.rottentomatoes.com/m/blackkklansman,2018,R,10000,96,83,Comedy,Spike Lee,134
Lost in Translation,https://www.rottentomatoes.com/m/lost_in_translation,2003,R,250000,95,85,Comedy,Sofia Coppola,102
Au Hasard Balthazar,https://www.rottentomatoes.com/m/au_hasard_balthazar,1970,Not Rated,5000,100,86,Drama,Robert Bresson,90
Boyhood,https://www.rottentomatoes.com/m/boyhood,2014,R,50000,97,80,Drama,Richard Linklater,165
The Grapes of Wrath,https://www.rottentomatoes.com/m/grapes_of_wrath,1940,Not Rated,10000,100,88,Drama,John Ford,129
Sing Street,https://www.rottentomatoes.com/m/sing_street,2016,PG-13,10000,95,92,Comedy,John Carney,106
A Fistful of Dollars,https://www.rottentomatoes.com/m/fistful_of_dollars,1964,R,50000,98,91,Western,Sergio Leone,96
The Truman Show,https://www.rottentomatoes.com/m/truman_show,1998,PG,250000,94,89,Comedy,Peter Weir,102
Life of Brian,https://www.rottentomatoes.com/m/monty_pythons_life_of_brian,1979,R,250000,96,93,Comedy,Terry Jones,93
8 1/2,https://www.rottentomatoes.com/m/8-12,1963,Not Rated,25000,97,92,Fantasy,Federico Fellini,135
Marriage Story,https://www.rottentomatoes.com/m/marriage_story_2019,2019,R,100,95,85,Drama,Noah Baumbach,136
Searching for Bobby Fischer,https://www.rottentomatoes.com/m/searching_for_bobby_fischer,1993,PG,10000,100,86,Biography,Steven Zaillian,110
Battleship Potemkin,https://www.rottentomatoes.com/m/battleship_potemkin,1926,Not Rated,10000,100,86,History,Sergei M. Eisenstein,67
Sullivan's Travels,https://www.rottentomatoes.com/m/sullivans_travels,1942,Not Rated,5000,100,89,Comedy,Preston Sturges,91
The Red Circle,https://www.rottentomatoes.com/m/le_cercle_rouge,1970,Not Rated,5000,96,92,Crime,Jean-Pierre Melville,145
The Lost Weekend,https://www.rottentomatoes.com/m/lost_weekend,1945,Not Rated,5000,97,89,Drama,Billy Wilder,101
Tim Burton's The Nightmare Before Christmas,https://www.rottentomatoes.com/m/the_nightmare_before_christmas,1993,PG,250000,95,92,Kids & Family,Henry Selick,75
Oppenheimer,https://www.rottentomatoes.com/m/oppenheimer_2023,2023,R,10000,93,91,Biography,Christopher Nolan,180
The Discreet Charm of the Bourgeoisie,https://www.rottentomatoes.com/m/the_discreet_charm_of_the_bourgeoisie,1972,PG,10000,98,88,Comedy,Luis Buñuel,100
The Lord of the Rings: The Fellowship of the Ring,https://www.rottentomatoes.com/m/the_lord_of_the_rings_the_fellowship_of_the_ring,2001,PG-13,250000,92,95,Fantasy,Peter Jackson,178
Ford v Ferrari,https://www.rottentomatoes.com/m/ford_v_ferrari,2019,PG-13,10000,92,98,History,James Mangold,152
My Left Foot,https://www.rottentomatoes.com/m/my_left_foot,1989,R,25000,98,92,Biography,Jim Sheridan,103
Room,https://www.rottentomatoes.com/m/room_2015,2016,R,50000,93,93,Drama,Lenny Abrahamson,118
