Title,Link,Year,Rating_Classification,Total_Ratings,Average_Rating,Director,Runtime,Genre
Snatch,https://www.imdb.com/title/tt0208092/?ref_=chttp_t_121,2000,R,932000,8.2,Guy Ritchie,102,Caper
1917,https://www.imdb.com/title/tt8579674/?ref_=chttp_t_122,2019,R,709000,8.2,Sam Mendes,119,Epic
L.A. Confidential,https://www.imdb.com/title/tt0119488/?ref_=chttp_t_123,1997,R,634000,8.2,Curtis Hanson,138,Conspiracy Thriller
Bicycle Thieves,https://www.imdb.com/title/tt0040522/?ref_=chttp_t_124,1948,Not Rated,182000,8.3,Vittorio De Sica,89,Tragedy
Downfall,https://www.imdb.com/title/tt0363163/?ref_=chttp_t_125,2004,R,384000,8.2,Oliver Hirschbiegel,156,Docudrama
Dangal,https://www.imdb.com/title/tt5074352/?ref_=chttp_t_126,2016,Not Rated,220000,8.3,Nitesh Tiwari,161,Action
Taxi Driver,https://www.imdb.com/title/tt0075314/?ref_=chttp_t_127,1976,R,958000,8.2,Martin Scorsese,114,Psychological Drama
Hamilton,https://www.imdb.com/title/tt8503618/?ref_=chttp_t_128,2020,PG-13,123000,8.3,Thomas Kail,160,Epic
The Wolf of Wall Street,https://www.imdb.com/title/tt0993846/?ref_=chttp_t_129,2013,R,1600000,8.2,Martin Scorsese,180,Dark Comedy
Batman Begins,https://www.imdb.com/title/tt0372784/?ref_=chttp_t_130,2005,PG-13,1600000,8.2,Christopher Nolan,140,Action Epic
For a Few Dollars More,https://www.imdb.com/title/tt0059578/?ref_=chttp_t_131,1965,R,283000,8.2,Sergio Leone,132,One-Person Army Action
Green Book,https://www.imdb.com/title/tt6966692/?ref_=chttp_t_132,2018,PG-13,612000,8.2,Peter Farrelly,130,Docudrama
Some Like It Hot,https://www.imdb.com/title/tt0053291/?ref_=chttp_t_133,1959,Approved,290000,8.2,Billy Wilder,121,Buddy Comedy
The Truman Show,https://www.imdb.com/title/tt0120382/?ref_=chttp_t_134,1998,PG,1200000,8.2,Peter Weir,103,Dark Comedy
Judgment at Nuremberg,https://www.imdb.com/title/tt0055031/?ref_=chttp_t_135,1961,Approved,89000,8.3,Stanley Kramer,179,Legal Drama
The Kid,https://www.imdb.com/title/tt0012349/?ref_=chttp_t_136,1921,Approved,139000,8.2,Charles Chaplin,68,Buddy Comedy
The Father,https://www.imdb.com/title/tt10272386/?ref_=chttp_t_137,2020,PG-13,206000,8.2,Florian Zeller,97,Psychological Drama
Shutter Island,https://www.imdb.com/title/tt1130884/?ref_=chttp_t_138,2010,R,1500000,8.2,Martin Scorsese,138,Psychological Thriller
